Ranking,Name,USdollars
1,United States,"20544343"
2,China,"13608152"
3,Japan,"4971323"
4,Germany,"3947620"
5,United Kingdom,"2855297"
6,France,"2777535"
7,India,"2718732"
8,Italy,"2083864"
9,Brazil,"1868626"
10,Canada,"1713342"
11,Russian Federation,"1657555"
12,"Korea, Rep.","1619424"
13,Australia,"1433904"
14,Spain,"1419042"
15,Mexico,"1220699"
16,Indonesia,"1042173"
17,Netherlands,"913658"
18,Saudi Arabia,"786522"
19,Turkey,"771350"
20,Switzerland,"705140"
21,Poland,"585664"
22,Sweden,"556086"
23,Belgium,"542761"
24,Argentina,"519872"
25,Thailand,"504993"
26,Austria,"455286"
27,"Iran, Islamic Rep.","454013"
28,Norway,"434167"
29,United Arab Emirates,"414179"
30,Nigeria,"397270"
31,Ireland,"382487"
32,Israel,"370588"
33,South Africa,"368289"
34,Singapore,"364157"
35,"Hong Kong SAR, China","362682"
36,Malaysia,"358582"
37,Denmark,"355675"
38,Colombia,"331047"
39,Philippines,"330910"
40,Pakistan,"314588"
41,Chile,"298231"
42,Finland,"276743"
43,Bangladesh,"274025"
44,"Egypt, Arab Rep.","250895"
45,Czech Republic,"245226"
46,Vietnam,"245214"
47,Portugal,"240675"
48,Romania,"239553"
49,Iraq,"224228"
50,Peru,"222045"
51,Greece,"218032"
52,New Zealand,"204924"
53,Qatar,"191362"
54,Kazakhstan,"179340"
55,Algeria,"173758"
56,Hungary,"157883"
57,Kuwait,"140645"
58,Ukraine,"130832"
59,Morocco,"117921"
60,Ecuador,"108398"
61,Slovak Republic,"105905"
62,Angola,"105751"
63,Puerto Rico,"101131"
64,Cuba,"96851"
65,Sri Lanka,"88901"
66,Kenya,"87908"
67,Dominican Republic,"85555"
68,Ethiopia,"84356"
69,Oman,"79277"
70,Guatemala,"78460"
71,Myanmar,"71215"
72,Luxembourg,"70885"
73,Ghana,"65556"
74,Bulgaria,"65133"
75,Panama,"65055"
76,Croatia,"60972"
77,Costa Rica,"60130"
78,Belarus,"59662"
79,Uruguay,"59597"
80,Tanzania,"58001"
81,Lebanon,"56639"
82,"Macao SAR, China","55084"
83,Slovenia,"54008"
84,Lithuania,"53429"
85,Serbia,"50597"
86,Uzbekistan,"50500"
87,Libya,"48364"
88,"Congo, Dem. Rep.","47228"
89,Azerbaijan,"46940"
90,C?te d'Ivoire,"43007"
91,Jordan,"42231"
92,Sudan,"40852"
93,Turkmenistan,"40761"
94,Paraguay,"40497"
95,Bolivia,"40288"
96,Tunisia,"39871"
97,Cameroon,"38675"
98,Bahrain,"37746"
99,Latvia,"34409"
100,Zimbabwe,"31001"
101,Estonia,"30732"
102,Nepal,"29040"
103,Uganda,"27461"
104,"Yemen, Rep.","26914"
105,Zambia,"26720"
106,El Salvador,"26057"
107,Iceland,"25878"
108,Cyprus,"24962"
109,Cambodia,"24542"
110,Senegal,"24130"
111,Honduras,"23970"
112,Trinidad and Tobago,"23808"
113,Papua New Guinea,"23498"
114,Bosnia and Herzegovina,"20162"
115,Afghanistan,"19363"
116,Botswana,"18616"
117,Lao PDR,"17954"
118,Georgia,"17600"
119,Mali,"17163"
120,Gabon,"16854"
121,Jamaica,"15714"
122,Albania,"15103"
123,Mozambique,"14717"
124,West Bank and Gaza,"14616"
125,Malta,"14553"
126,Namibia,"14522"
127,Mauritius,"14220"
128,Burkina Faso,"14125"
129,Madagascar,"13853"
130,Brunei Darussalam,"13567"
131,Equatorial Guinea,"13432"
132,Nicaragua,"13118"
133,Mongolia,"13067"
134,North Macedonia,"12672"
135,Armenia,"12433"
136,"Bahamas, The","12150"
137,Moldova,"11444"
138,Chad,"11273"
139,"Congo, Rep.","11264"
140,Guinea,"10907"
141,Benin,"10354"
142,Haiti,"9659"
143,Rwanda,"9509"
144,Niger,"9291"
145,Kyrgyz Republic,"8093"
146,Kosovo,"7939"
147,Tajikistan,"7523"
148,Malawi,"7065"
149,Isle of Man,"6593"
150,Monaco,"6415"
151,Liechtenstein,"6215"
152,Guam,"5851"
153,Fiji,"5537"
154,Montenegro,"5504"
155,Togo,"5359"
156,Maldives,"5327"
157,Mauritania,"5235"
158,Cayman Islands,"5142"
159,Barbados,"4990"
160,Somalia,"4721"
161,Eswatini,"4711"
162,Sierra Leone,"4085"
163,Guyana,"3879"
164,Virgin Islands (U.S.),"3855"
165,Suriname,"3591"
166,Liberia,"3264"
167,Andorra,"3237"
168,Cura?ao,"3117"
169,Burundi,"3037"
170,Djibouti,"2956"
171,Lesotho,"2739"
172,Greenland,"2707"
173,Aruba,"2701"
174,Faroe Islands,"2689"
175,Timor-Leste,"2581"
176,Bhutan,"2535"
177,Central African Republic,"2220"
178,Cabo Verde,"1977"
179,St. Lucia,"1922"
180,Belize,"1871"
181,San Marino,"1633"
182,"Gambia, The","1633"
183,Antigua and Barbuda,"1611"
184,Northern Mariana Islands,"1601"
185,Seychelles,"1590"
186,Guinea-Bissau,"1458"
187,Solomon Islands,"1396"
188,Grenada,"1186"
189,Comoros,"1178"
190,Turks and Caicos Islands,"1022"
191,St. Kitts and Nevis,"1011"
